"customerid","tenure","monthlycharges","ltv"
"0409-WTMPL",58,"110.65","6417.70"
"8763-KIAFH",27,"20.55","554.85"
"3669-WHAFY",71,"115.15","8175.65"
"3055-VTCGS",63,"58.55","3688.65"
"3144-KMTWZ",71,"93.25","6620.75"
"7279-BUYWN",41,"113.2","4641.2"
"7156-MHUGY",13,"90.5","1176.5"
"7198-GLXTC",2,"79","158"
"2007-QVGAW",68,"19.35","1315.80"
"5207-PLSTK",1,"48.75","48.75"
"2307-FYNNL",65,"109.05","7088.25"
"5605-XNWEN",72,"25","1800"
"2155-AMQRX",28,"54.9","1537.2"
"6181-AXXYF",72,"24.75","1782.00"
"5091-HFAZW",2,"91.15","182.30"
"0516-VRYBW",18,"20.15","362.70"
"2519-LBNQL",60,"104.35","6261.00"
"8623-ULFNQ",26,"66.05","1717.30"
"8380-PEFPE",1,"71.65","71.65"
"5687-DKDTV",4,"20.35","81.40"
"1568-LJSZU",68,"92.2","6269.6"
"7530-HDYDS",38,"84.25","3201.50"
"7789-HKSBS",42,"105.2","4418.4"
"7416-CKTEP",57,"19.6","1117.2"
"2586-CWXVV",54,"30.4","1641.6"
"3096-IZETN",12,"78.1","937.2"
"2348-KCJLT",44,"61.5","2706.0"
"8401-EMUWF",42,"69.4","2914.8"
"4193-IBKSW",72,"24.75","1782.00"
"5377-NDTOU",71,"91.05","6464.55"
"5922-ABDVO",19,"89.65","1703.35"
"2474-LCNUE",23,"73.65","1693.95"
"0839-QNXME",30,"19.4","582.0"
"3506-OVLKD",35,"26.2","917.0"
"9172-ANCRX",10,"98.7","987.0"
"6650-VJONK",1,"43.85","43.85"
"2178-PMGCJ",22,"69.7","1533.4"
"7492-TAFJD",7,"38.55","269.85"
"2773-MADBQ",36,"53.1","1911.6"
"6016-LVTJQ",34,"20.65","702.10"
"7860-KSUGX",72,"64.45","4640.40"
"8966-KZXXA",36,"25.1","903.6"
"6910-HADCM",1,"76.35","76.35"
"4816-LXZYW",23,"79.15","1820.45"
"9606-PBKBQ",32,"85","2720"
"5149-QYTTU",71,"95.15","6755.65"
"2070-XYMFH",23,"79.35","1825.05"
"2085-BOJKI",17,"96.65","1643.05"
"0817-HSUSE",1,"75.5","75.5"
"5442-PPTJY",12,"19.7","236.4"
"1927-QEWMY",72,"20.5","1476.0"
"1663-MHLHE",1,"19.2","19.2"
"5663-QBGIS",72,"98.35","7081.20"
"4450-MDZFX",60,"74.35","4461.00"
"6701-DHKWQ",61,"51.35","3132.35"
"7554-AKDQF",6,"45.65","273.90"
"3536-IQCTX",32,"85.3","2729.6"
"4911-BANWH",31,"86.55","2683.05"
"8496-EJAUI",19,"73.85","1403.15"
"0794-YVSGE",72,"20.3","1461.6"
"5423-BHIXO",32,"54.2","1734.4"
"6908-VVYHM",65,"90.65","5892.25"
"2959-EEXWB",45,"50.9","2290.5"
"1839-UMACK",42,"25.05","1052.10"
"3030-YDNRM",8,"74.85","598.80"
"7321-KKSDU",32,"20.5","656.0"
"3402-XRIUO",22,"63.55","1398.10"
"3132-TVFDZ",57,"44.85","2556.45"
"8286-AFUYI",1,"47.95","47.95"
"8080-DDEMJ",1,"45.1","45.1"
"8356-WUAOJ",1,"45","45"
"6365-MTGZX",24,"96","2304"
"1349-WXNGG",1,"20.05","20.05"
"8058-DMYRU",54,"90.05","4862.70"
"9350-ZXYJC",4,"25.3","101.2"
"6990-YNRIO",65,"108.65","7062.25"
"8958-JPTRR",56,"24.3","1360.8"
"6959-GQEGV",45,"75.95","3417.75"
"3173-WSSUE",71,"19.7","1398.7"
"1265-HVPZB",59,"66.4","3917.6"
"4115-UMJFQ",69,"35.75","2466.75"
"7369-TRPFD",19,"18.8","357.2"
"1098-KFQEC",55,"19.4","1067.0"
"7190-XHTWJ",38,"19.3","733.4"
"0621-TWIEM",10,"45.55","455.50"
"3537-RYBHH",47,"67.45","3170.15"
"2485-ITVKB",2,"35.1","70.2"
"3669-OYSJI",1,"46.2","46.2"
"1612-EOHDH",1,"45.15","45.15"
"6702-OHFWR",1,"43.3","43.3"
"5296-BFCYD",46,"20.1","924.6"
"4510-PYUSH",38,"57.15","2171.70"
"9359-JANWS",65,"58.9","3828.5"
"7517-SAWMO",19,"73.2","1390.8"
"4143-HHPMK",52,"85.35","4438.20"
"3279-DYZQM",71,"19.45","1380.95"
"7054-LGEQW",1,"45.95","45.95"
"0523-VNGTF",52,"50.5","2626.0"
"9575-IWCAZ",6,"25.1","150.6"
"7105-MXJLL",26,"60.7","1578.2"
"7064-FRRSW",48,"99","4752"
"7940-UQQUG",64,"104.4","6681.6"
"0923-PNFUB",3,"83.75","251.25"
"3961-SXAXY",1,"44.05","44.05"
"7010-BRBUU",72,"24.1","1735.2"
"3566-HJGPK",1,"45.55","45.55"
"3062-ICYZQ",51,"93.8","4783.8"
"9938-PRCVK",41,"19.7","807.7"
"0973-KYVNF",72,"70.65","5086.80"
"5129-HHMZC",43,"86.45","3717.35"
"9637-CDTKZ",72,"114.1","8215.2"
"3946-JEWRQ",47,"95.2","4474.4"
"7873-CVMAW",72,"88.55","6375.60"
"0463-WZZKO",3,"20.75","62.25"
"3494-JCHRQ",1,"70.05","70.05"
"6474-FVJLC",2,"86","172"
"4524-QCSSM",26,"44.65","1160.90"
"5832-EXGTT",29,"60.2","1745.8"
"8840-DQLGN",35,"100.5","3517.5"
"2039-JONDJ",27,"55.45","1497.15"
"7217-JYHOQ",24,"70.3","1687.2"
"6695-FRVEC",67,"60.4","4046.8"
"4547-LYTDD",16,"72.65","1162.40"
"9894-QMIMJ",23,"55.8","1283.4"
"8069-YQQAJ",14,"31.1","435.4"
"6770-XUAGN",1,"21","21"
"4193-ORFCL",1,"45.1","45.1"
"1636-NTNCO",4,"50.95","203.80"
"3466-WAESX",16,"69.1","1105.6"
"9281-PKKZE",46,"43.95","2021.70"
"3638-VBZTA",68,"86.5","5882.0"
"7459-IMVYU",38,"69.95","2658.10"
"7776-QWNFX",30,"50.4","1512.0"
"6689-TCZHQ",5,"78.95","394.75"
"8563-OYMQY",17,"90.95","1546.15"
"0754-EEBDC",4,"19.9","79.6"
"5777-ZPQNC",12,"20.15","241.80"
"1951-IEYXM",72,"90.6","6523.2"
"3318-NMQXL",3,"92","276"
"3143-ILDAL",56,"94.45","5289.20"
"1022-RKXDR",41,"24.85","1018.85"
"2361-FJWNO",40,"36","1440"
"2272-UOINI",7,"78.5","549.5"
"8232-UTFOZ",69,"19.95","1376.55"
"3750-YHRYO",7,"20.65","144.55"
"6637-KYRCV",5,"30.5","152.5"
"5668-MEISB",72,"106.1","7639.2"
"0129-QMPDR",44,"20.5","902.0"
"7188-CBBBA",65,"95.5","6207.5"
"5356-CSVSQ",3,"64.6","193.8"
"3221-CJMSG",24,"51.1","1226.4"
"4720-VSTSI",44,"84.8","3731.2"
"3219-JQRSL",72,"89.1","6415.2"
"2801-NISEI",24,"54.95","1318.80"
"3946-MHCZW",1,"50.9","50.9"
"4623-ZKHLY",22,"20.45","449.90"
"6732-VAILE",70,"85.95","6016.50"
"8201-AAXCB",25,"60.35","1508.75"
"7696-CFTAT",37,"19.8","732.6"
"1845-CSBRZ",22,"85.35","1877.70"
"2123-VSCOT",59,"72.1","4253.9"
"6651-AZVTJ",49,"99.8","4890.2"
"4566-GOLUK",47,"107.35","5045.45"
"2484-DGXPZ",31,"19.55","606.05"
"2018-QKYGT",1,"81.05","81.05"
"2792-VPPET",3,"20.5","61.5"
"7409-JURKQ",53,"111.8","5925.4"
"3247-MHJKM",1,"20.2","20.2"
"1964-SVLEA",20,"19.7","394.0"
"4587-NUKOX",3,"79.1","237.3"
"7297-DVYGA",51,"19.85","1012.35"
"2239-CGBUZ",51,"60.5","3085.5"
"0854-UYHZD",13,"19.55","254.15"
"7243-LCGGZ",1,"20.9","20.9"
"8267-KFGYD",1,"21.05","21.05"
"4890-VMUAV",63,"71.5","4504.5"
"9261-WDCAF",3,"54.65","163.95"
"3764-MNMOI",46,"19.2","883.2"
"7442-YGZFK",1,"49.8","49.8"
"0420-BWTPW",8,"25.5","204.0"
"8229-BUJHX",71,"20.5","1455.5"
"7449-HVPIV",55,"90.4","4972.0"
"5504-WSIUR",70,"90.25","6317.50"
"8183-ONMXC",2,"80.75","161.50"
"8466-PZBLH",67,"104.6","7008.2"
"9614-RMGHA",65,"91.85","5970.25"
"8735-IJJEG",14,"50.2","702.8"
"0564-MUUQK",20,"95.5","1910.0"
"5054-IEXZT",1,"75.35","75.35"
"5834-ASPWA",1,"75.45","75.45"
"0701-RFGFI",49,"95.4","4674.6"
"0019-EFAEP",72,"101.3","7293.6"
"5619-PTMIK",46,"53.1","2442.6"
"3737-XBQDD",24,"84.85","2036.40"
"5882-CMAZQ",5,"34.25","171.25"
"5846-QFDFI",33,"88.6","2923.8"
"4445-KWOKW",42,"60.15","2526.30"
"3511-APPBJ",23,"99.95","2298.85"
"7967-HYCDE",8,"70.7","565.6"
"2430-RRYUW",66,"54.8","3616.8"
"3948-XHGNA",24,"49.55","1189.20"
"3723-BFBGR",24,"54.8","1315.2"
"0565-IYCGT",69,"78.6","5423.4"
"5447-WZAFP",53,"100.3","5315.9"
"5110-CHOPY",60,"53.6","3216.0"
"5445-UTODQ",7,"81.1","567.7"
"4425-OWHWB",20,"19.35","387.00"
"7892-QVYKW",23,"85.6","1968.8"
"9675-ICXCT",72,"80.8","5817.6"
"1024-VRZHF",11,"74.95","824.45"
"4703-MQYKT",21,"19.6","411.6"
"9497-QCMMS",1,"93.55","93.55"
"5692-ICXLW",31,"90.7","2811.7"
"0602-DDUML",57,"69.75","3975.75"
"2208-MPXIO",45,"20","900"
"1960-UYCNN",10,"95.25","952.50"
"0348-SDKOL",58,"102.1","5921.8"
"3190-FZATL",14,"19.95","279.30"
"7336-RLLRH",27,"80.85","2182.95"
"4373-MAVJG",14,"90.9","1272.6"
"8901-HJXTF",12,"29.2","350.4"
"7710-JSYOA",69,"93.3","6437.7"
"5419-KLXBN",25,"89.15","2228.75"
"3424-NMNBO",58,"108.85","6313.30"
"9885-MFVSU",35,"46.35","1622.25"
"4514-GFCFI",16,"84.75","1356.00"
"0607-MVMGC",45,"78.75","3543.75"
"3365-SAIGS",17,"83.55","1420.35"
"9828-AOQLM",1,"45.7","45.7"
"8022-BECSI",22,"19.6","431.2"
"8000-REIQB",1,"69.95","69.95"
"9993-LHIEB",67,"67.85","4545.95"
"0266-CLZKZ",67,"105.65","7078.55"
"7615-ESMYF",2,"44.6","89.2"
"3858-VOBET",23,"74.95","1723.85"
"7020-OZKXZ",9,"75.5","679.5"
"3977-QCRSL",5,"20.15","100.75"
"0017-DINOC",54,"45.2","2440.8"
"1447-PJGGA",57,"95.25","5429.25"
"8565-CLBZW",24,"89.85","2156.40"
"9139-WQQDY",49,"100.45","4922.05"
"0224-HJAPT",5,"47.15","235.75"
"8086-OVPWV",2,"80.2","160.4"
"9430-FRQOC",4,"87.1","348.4"
"7639-OPLNG",70,"79.25","5547.50"
"3074-GQWYX",5,"75.9","379.5"
"1492-QGCLU",53,"85.7","4542.1"
"6845-RGTYS",47,"98.75","4641.25"
"7328-OWMOM",31,"20.1","623.1"
"4418-LZMSV",13,"61.8","803.4"
"5155-AZQPB",28,"49.9","1397.2"
"8861-HGGKB",10,"86.45","864.50"
"1087-GRUYI",38,"20.4","775.2"
"7065-YUNRY",1,"45.3","45.3"
"7694-VLBWQ",67,"104.1","6974.7"
"2546-KZAAT",52,"75.4","3920.8"
"0181-RITDD",62,"108.15","6705.30"
"5989-PGKJB",16,"86.25","1380.00"
"4795-KTRTH",5,"81","405"
"8272-ONJLV",12,"95.7","1148.4"
"1488-PBLJN",72,"116.85","8413.20"
"0308-GIQJT",71,"105.75","7508.25"
"3778-FOAQW",24,"20.15","483.60"
"4452-ROHMO",15,"19.6","294.0"
"6481-OGDOO",67,"90.6","6070.2"
"3090-LETTY",2,"60.95","121.90"
"5349-AZPEW",5,"25.05","125.25"
"3753-TSEMP",15,"88.15","1322.25"
"8305-VHZBZ",1,"20.2","20.2"
"9720-JJJOR",41,"60.3","2472.3"
"8100-HZZLJ",43,"63.95","2749.85"
"8775-ERLNB",1,"74.3","74.3"
"8309-IEYJD",1,"70.6","70.6"
"9172-JITSM",26,"90.8","2360.8"
"6298-QDFNH",22,"79.35","1745.70"
"7398-HPYZQ",71,"90.55","6429.05"
"3546-GHEAE",7,"19.45","136.15"
"7361-YPXFS",28,"64.45","1804.60"
"6557-BZXLQ",16,"69.65","1114.40"
"2550-QHZGP",7,"19.5","136.5"
"7519-JTWQH",69,"110.5","7624.5"
"2538-OIMXF",1,"24.7","24.7"
"8543-MSDMF",3,"77.4","232.2"
"9961-JBNMK",21,"96.8","2032.8"
"1170-SASML",69,"85.4","5892.6"
"4872-JCVCA",71,"47.6","3379.6"
"5346-BZCHP",69,"19.4","1338.6"
"2038-LLMLM",48,"103.85","4984.80"
"6173-ITPWD",47,"83.35","3917.45"
"9734-UYXQI",2,"49.4","98.8"
"1216-BGTSP",45,"108.45","4880.25"
"4138-NAXED",51,"81","4131"
"2189-UXTKY",22,"79.2","1742.4"
"0744-BIKKF",72,"86.65","6238.80"
"7483-IQWIB",37,"92.95","3439.15"
"5248-KWLAR",71,"90.35","6414.85"
"4958-GZWIY",7,"48.7","340.9"
"7996-MHXLW",66,"25.15","1659.90"
"7833-PKIHD",51,"76.4","3896.4"
"7061-OVMIM",30,"19.55","586.50"
"5153-RTHKF",34,"85.35","2901.90"
"1852-QSWCD",64,"24.8","1587.2"
"4832-VRBMR",65,"103.15","6704.75"
"9079-LWTFD",47,"100.75","4735.25"
"6356-ELRKD",1,"95.6","95.6"
"8624-GIOUT",49,"59.75","2927.75"
"3392-EHMNK",67,"94.1","6304.7"
"5986-WWXDV",39,"19.35","754.65"
"3061-BCKYI",14,"19.9","278.6"
"6179-GJPSO",43,"108.15","4650.45"
"7901-TBKJX",56,"101.05","5658.80"
"7228-PAQPD",14,"59.1","827.4"
"3177-LASXD",1,"71.35","71.35"
"7746-QYVCO",16,"55.85","893.60"
"5804-HYIEZ",70,"106.05","7423.50"
"9919-FZDED",72,"84.1","6055.2"
"5934-TSSAU",23,"75.3","1731.9"
"3486-KHMLI",21,"24.7","518.7"
"4897-QSUYC",1,"20.15","20.15"
"1084-UQCHV",1,"69.75","69.75"
"8290-YWKHZ",32,"93.2","2982.4"
"2955-BJZHG",17,"80.85","1374.45"
"3806-DXQOM",4,"33.65","134.60"
"6784-XYJAE",36,"55.8","2008.8"
"3933-DQPWX",50,"39.7","1985.0"
"6661-EIPZC",48,"29.5","1416.0"
"8957-THMOA",50,"20.15","1007.50"
"2251-PYLPB",72,"79.55","5727.60"
"5555-RNPGT",10,"24.8","248.0"
"1057-FOGLZ",18,"19.65","353.70"
"9300-RENDD",1,"79.95","79.95"
"0761-AETCS",1,"19.3","19.3"
"8087-LGYHQ",9,"94.05","846.45"
"4137-BTIKL",2,"90.75","181.50"
"2190-BCXEC",40,"78.85","3154.00"
"6227-FBDXH",69,"99.5","6865.5"
"2153-MREFK",37,"99.2","3670.4"
"2911-WDXMV",18,"80.55","1449.90"
"7206-PQBBZ",11,"70.2","772.2"
"0842-IWYCP",46,"44.95","2067.70"
"3521-HTQTV",34,"26.1","887.4"
"3744-ZBHON",3,"20.2","60.6"
"3373-DIUUN",30,"21.25","637.50"
"8383-SGHJU",33,"59.4","1960.2"
"7607-QKKTJ",45,"95","4275"
"7707-PYBBH",40,"61.9","2476.0"
"8984-HPEMB",71,"118.65","8424.15"
"4349-GFQHK",1,"54.35","54.35"
"4139-DETXS",72,"64.45","4640.40"
"9779-DPNEJ",22,"80.15","1763.30"
"9805-FILKB",46,"20.2","929.2"
"5793-YOLJN",55,"21","1155"
"0673-IGUQO",1,"20.45","20.45"
"4123-FCVCB",12,"75.85","910.20"
"8819-IMISP",31,"80.45","2493.95"
"7802-EFKNY",5,"24.95","124.75"
"8311-UEUAB",67,"75.5","5058.5"
"5858-EAFCZ",1,"44.45","44.45"
"8035-BUYVG",40,"42.35","1694.00"
"1163-ONYEY",41,"74.55","3056.55"
"9787-XVQIU",1,"75.3","75.3"
"8945-MUQUF",51,"94.8","4834.8"
"5656-MJEFC",42,"48.15","2022.30"
"6082-OQFBA",23,"19.65","451.95"
"8051-HJRLT",1,"70.55","70.55"
"8974-OVACP",1,"20.15","20.15"
"4010-YLMVT",56,"106.6","5969.6"
"1379-FRVEB",15,"91","1365"
"8612-GXIDD",12,"25.4","304.8"
"6288-CHQJB",54,"69.95","3777.30"
"8160-HOWOX",7,"66.85","467.95"
"3023-GFLBR",33,"86.15","2842.95"
"6648-INWPS",16,"20.15","322.40"
"4223-BKEOR",21,"64.85","1361.85"
"4079-VTGLK",30,"74.85","2245.50"
"1763-WQFUK",3,"50.5","151.5"
"1391-UBDAR",11,"72.9","801.9"
"8894-JVDCV",62,"115.05","7133.10"
"2023-VQFDL",18,"19","342"
"1345-GKDZZ",6,"19.55","117.30"
"2014-MKGMH",46,"101.1","4650.6"
"5628-FCGYG",21,"84.1","1766.1"
"2560-WBWXF",68,"24.15","1642.20"
"0248-IPDFW",1,"50.1","50.1"
"7978-DKUQH",25,"74.6","1865.0"
"4395-PZMSN",5,"85.55","427.75"
"4335-UPJSI",24,"19.75","474.00"
"0524-IAVZO",30,"85","2550"
"2737-YNGYW",2,"80.55","161.10"
"1784-EZDKJ",51,"106.8","5446.8"
"9297-FVVDH",57,"84.5","4816.5"
"8007-YYPWD",15,"25.05","375.75"
"7101-HRBLJ",72,"83.7","6026.4"
"5159-YFPKQ",2,"75.8","151.6"
"6635-CPNUN",28,"96.6","2704.8"
"4021-RQSNY",29,"98.5","2856.5"
"5453-YBTWV",70,"101.1","7077.0"
"5039-LZRQT",13,"20.2","262.6"
"2931-VUVJN",59,"94.05","5548.95"
"9061-TIHDA",13,"95.25","1238.25"
"8699-ASUFO",7,"74.4","520.8"
"6418-PIQSP",62,"81","5022"
"8220-OCUFY",21,"60.25","1265.25"
"3995-WFCSM",2,"60.85","121.70"
"1895-QTKDO",1,"43.95","43.95"
"2038-OEQZH",4,"86.05","344.20"
"1178-PZGAB",19,"20.25","384.75"
"7927-AUXBZ",30,"85.15","2554.50"
"2626-VEEWG",67,"19.4","1299.8"
"2878-RMWXY",72,"102.65","7390.80"
"1657-DYMBM",53,"19.9","1054.7"
"7311-MQJCH",5,"19.55","97.75"
"7375-WMVMT",71,"95.5","6780.5"
"1136-XGEQU",50,"84.15","4207.50"
"2530-FMFXO",56,"103.2","5779.2"
"6844-DZKRF",2,"50.2","100.4"
"4695-WJZUE",2,"88.55","177.10"
"7619-ODSGN",24,"54.75","1314.00"
"5970-GHJAW",46,"19.95","917.70"
"8879-XUAHX",71,"116.25","8253.75"
"3689-MOZGR",29,"31.2","904.8"
"4195-PNGZS",69,"24.45","1687.05"
"5003-XZWWO",71,"84.2","5978.2"
"3988-RQIXO",1,"91.3","91.3"
"7622-FWGEW",56,"85.65","4796.40"
"6922-NCEDI",56,"21.2","1187.2"
"2514-GINMM",1,"79.5","79.5"
"9891-NQDBD",28,"25.55","715.40"
"6131-IUNXN",19,"20.2","383.8"
"8548-AWOFC",66,"63.85","4214.10"
"9798-DRYDS",17,"61.95","1053.15"
"8532-UEFWH",52,"25.75","1339.00"
"6296-DDOOR",19,"58.2","1105.8"
"7951-VRDVK",36,"85.85","3090.60"
"5931-FLJJF",7,"70.1","490.7"
"4815-YOSUK",72,"104.9","7552.8"
"2659-VXMWZ",67,"111.3","7457.1"
"0380-NEAVX",34,"99.85","3394.90"
"3207-OYBWH",57,"95.25","5429.25"
"4285-GYRQC",7,"86.25","603.75"
"7216-EWTRS",1,"100.8","100.8"
"4365-MSDYN",8,"19.55","156.40"
"7036-TYDEC",69,"104","7176"
"5802-ADBRC",50,"104.4","5220.0"
"8076-FEZKJ",10,"19.5","195.0"
"5197-YPYBZ",12,"25.25","303.00"
"8337-MSSXB",14,"86.3","1208.2"
"4312-GVYNH",70,"49.85","3489.50"
"8495-LJDFO",64,"108.95","6972.80"
"0839-JTCUD",66,"89.9","5933.4"
"5494-WOZRZ",71,"82","5822"
"1302-UHBDD",20,"89.95","1799.00"
"2234-EOFPT",72,"79.35","5713.20"
"8619-IJNDK",71,"64.05","4547.55"
"8378-LKJAF",38,"101.15","3843.70"
"8182-BJDSI",28,"89.95","2518.60"
"2528-HFYZX",17,"76.45","1299.65"
"1153-GNOLC",33,"39.1","1290.3"
"3298-QEICA",23,"34.6","795.8"
"0788-DXBFY",58,"19.55","1133.90"
"3597-YASZG",70,"104.45","7311.50"
"3496-LFSZU",4,"70.5","282.0"
"5242-UOWHD",45,"20.35","915.75"
"2482-CZGBB",10,"70","700"
"6479-SZPLM",36,"19.45","700.20"
"8097-VBQTZ",54,"69.9","3774.6"
"4500-HKANN",23,"59.7","1373.1"
"9917-KWRBE",41,"78.35","3212.35"
"3420-ZDBMA",5,"71.45","357.25"
"2212-LYASK",27,"45.85","1237.95"
"1393-IMKZG",1,"95.85","95.85"
"8069-RHUXK",67,"35.7","2391.9"
"3398-GCPMU",72,"89.55","6447.60"
"2908-WGAXL",56,"24.95","1397.20"
"3378-AJRAO",44,"24.85","1093.40"
"1013-QCWAM",66,"100.8","6652.8"
"0866-QLSIR",34,"64.4","2189.6"
"6050-FFXES",69,"105.35","7269.15"
"7181-BQYBV",1,"102.45","102.45"
"0362-RAOQO",40,"19.65","786.00"
"9554-DFKIC",30,"54.45","1633.50"
"5527-ACHSO",11,"70.5","775.5"
"0829-DDVLK",15,"20.1","301.5"
"1399-UBQIU",11,"69.35","762.85"
"1813-JLKWR",64,"19.8","1267.2"
"0336-PIKEI",72,"74.4","5356.8"
"7322-OCWHC",72,"93.05","6699.60"
"9537-VHDTA",1,"51.2","51.2"
"4957-TIALW",15,"65.6","984.0"
"2054-PJOCK",60,"80.55","4833.00"
"9150-HEPMB",56,"52.7","2951.2"
"9030-QGZNL",8,"20.85","166.80"
"6204-IEUXJ",3,"80.1","240.3"
"3126-WQMGH",49,"52.15","2555.35"
"4529-CKBCL",2,"80.2","160.4"
"2506-CLAKW",6,"98.15","588.90"
"7176-WRTNX",70,"114.95","8046.50"
"1583-IHQZE",12,"112.95","1355.40"
"5732-IKGQH",52,"104.45","5431.40"
"9239-GZHZE",72,"113.65","8182.80"
"7205-BAIAD",40,"20.6","824.0"
"0151-ONTOV",1,"70.9","70.9"
"4140-MUHUG",3,"86.85","260.55"
"0093-EXYQL",40,"91.55","3662.00"
"8064-RAVOH",1,"49.85","49.85"
"0219-QAERP",30,"19.8","594.0"
"0320-JDNQG",23,"99.85","2296.55"
"7180-PISOG",1,"74.5","74.5"
"9168-INPSZ",44,"104.15","4582.60"
"3571-RFHAR",65,"109.15","7094.75"
"0015-UOCOJ",7,"48.2","337.4"
"5334-AFQJB",72,"25.1","1807.2"
"2754-SDJRD",8,"100.15","801.20"
"9578-VRMNM",16,"65.2","1043.2"
"1587-FKLZB",66,"99.5","6567.0"
"6140-QNRQQ",1,"71.55","71.55"
"8963-JLGJT",3,"55.9","167.7"
"4307-KTUMW",53,"93.9","4976.7"
"1465-LNTLJ",8,"64.4","515.2"
"5440-FLBQG",69,"108.4","7479.6"
"2135-DQWAQ",5,"85.3","426.5"
"4056-QHXHZ",72,"107.45","7736.40"
"7470-MCQTK",13,"48.75","633.75"
"7488-MXJIV",4,"85.65","342.60"
"7401-JIXNM",54,"91.3","4930.2"
"9339-FIIJL",72,"85.95","6188.40"
"2027-FECZV",12,"106.7","1280.4"
"2672-DZUOY",1,"25.15","25.15"
"4706-DGAHW",1,"45.2","45.2"
"3870-MQAMG",54,"110.35","5958.90"
"6670-MFRPK",69,"79.2","5464.8"
"6177-PEVRA",48,"55.5","2664.0"
"4800-CZMPC",48,"103.25","4956.00"
"4813-HQMGZ",8,"90.25","722.00"
"7579-KKLOE",71,"91.25","6478.75"
"7377-DMMRI",2,"47.8","95.6"
"8402-EIVQS",67,"100.9","6760.3"
"4947-DSMXK",34,"97.7","3321.8"
"7245-NIIWQ",3,"69.85","209.55"
"0002-ORFBO",9,"65.6","590.4"
"3324-OIRTO",71,"104.65","7430.15"
"5414-OFQCB",57,"90.45","5155.65"
"4967-WPNCF",72,"63.7","4586.4"
"8552-OBVRU",48,"104.5","5016.0"
"8499-BRXTD",18,"20.1","361.8"
"9154-QDGTH",43,"104.3","4484.9"
"8197-BFWVU",72,"93.25","6714.00"
"2577-GVSIL",35,"73.45","2570.75"
"9367-OIUXP",4,"20.7","82.8"
"6770-UAYGJ",49,"25.25","1237.25"
"6463-HHXJR",71,"100.5","7135.5"
"7928-VJYAB",11,"90.6","996.6"
"1187-WILMM",63,"89.4","5632.2"
"9776-OJUZI",65,"95.45","6204.25"
"1306-RPWXZ",49,"20.45","1002.05"
"8949-JTMAY",29,"98.6","2859.4"
"2774-LVQUS",15,"83.05","1245.75"
"3097-PYWXL",4,"19.95","79.80"
"2266-SJNAT",72,"109.15","7858.80"
"0869-PAPRP",26,"85.7","2228.2"
"4238-JSSWH",35,"102.05","3571.75"
"2972-YDYUW",57,"94.7","5397.9"
"1104-FEJAM",28,"64.4","1803.2"
"2809-ILCYT",25,"26.8","670.0"
"5499-ECUTN",47,"66.05","3104.35"
"4981-FLTMF",57,"65.2","3716.4"
"9121-PHQSR",16,"85.05","1360.80"
"3113-IWHLC",5,"55.8","279.0"
"3211-ILJTT",17,"70.4","1196.8"
"4612-THJBS",56,"104.75","5866.00"
"4277-BWBML",72,"19.95","1436.40"
"4094-NSEDU",21,"94.25","1979.25"
"0234-TEVTT",48,"45","2160"
"4304-TSPVK",68,"114.9","7813.2"
"1552-AAGRX",30,"106.4","3192.0"
"2637-FKFSY",3,"46.1","138.3"
"9796-MVYXX",14,"39.7","555.8"
"7874-ECPQJ",4,"20.05","80.20"
"0020-INWCK",71,"95.75","6798.25"
"7089-RKVSZ",8,"24.4","195.2"
"2683-JXWQQ",61,"33.6","2049.6"
"9548-ZMVTX",72,"90.45","6512.40"
"8739-XNIKG",5,"84","420"
"9755-JHNMN",49,"67.4","3302.6"
"3981-QSVQI",8,"19.7","157.6"
"2789-HQBOU",3,"80.35","241.05"
"9424-CMPOG",9,"19.6","176.4"
"5067-WJEUN",67,"54.2","3631.4"
"3450-WXOAT",46,"45.2","2079.2"
"9251-WNSOD",67,"75.1","5031.7"
"6974-DAFLI",55,"19.7","1083.5"
"2616-UUTFK",33,"72.75","2400.75"
"7064-JHXCE",62,"20.05","1243.10"
"5103-MHMHY",1,"45.95","45.95"
"7989-AWGEH",49,"39.2","1920.8"
"4373-VVHQL",1,"44.75","44.75"
"4559-UWIHT",14,"82.65","1157.10"
"7268-IGMFD",18,"93.9","1690.2"
"1846-XWOQN",1,"70.15","70.15"
"0235-KGSLC",1,"85.55","85.55"
"6650-BWFRT",72,"117.15","8434.80"
"9570-KYEUA",64,"99.25","6352.00"
"6993-YGFJV",69,"112.55","7765.95"
"2712-SYWAY",1,"25.7","25.7"
"0730-BGQGF",71,"90.3","6411.3"
"5498-IBWPI",66,"49.4","3260.4"
"9101-NTIXF",2,"19.4","38.8"
"0013-SMEOE",71,"109.7","7788.7"
"9314-QDMDW",11,"61.25","673.75"
"9308-ANMVE",47,"55.3","2599.1"
"2884-GBPFB",35,"70.3","2460.5"
"3757-NJYBX",32,"106.35","3403.20"
"3413-DHLPB",60,"103.75","6225.00"
"7649-PHJVR",11,"19.5","214.5"
"6114-TCFID",29,"39.5","1145.5"
"3787-TRIAL",21,"26.05","547.05"
"2573-GYRUU",48,"91.05","4370.40"
"5156-UMKOW",3,"29.65","88.95"
"1247-QBVSH",43,"50.2","2158.6"
"6734-GMPVK",5,"105.3","526.5"
"9822-OAOVB",1,"55.45","55.45"
